circle,Global_Id,Site Name,Cluster_name,latitude,longitude
Odisha,557230,Joda,Angul,22.02057,85.42052
Odisha,557238,Swargadwara,Angul,22.0396,85.4369
Odisha,557240,Kumarjoda,Angul,22.00584,85.42248
Odisha,557241,Goalimines,Angul,21.97883,85.28553
Odisha,557274,Champua,Angul,22.06492,85.66843
Odisha,557280,Gadadharpur,Angul,21.44527,85.87534
Odisha,557316,Kendujhar_006_GSM,Angul,21.629,85.61832
Odisha,557334,UW_Orissa_0718_KEONJHAR NEW COLONY,Angul,21.6424,85.6171
Odisha,557339,Parshala Keonjhar(GSM),Angul,21.9454,85.602
Odisha,557341,UW_Orissa_0860_Baneikala Basti(Joda-2),Angul,22.0358,85.4221
Odisha,574235,BALDEV TEMPLE KEONJHAR 2 BSC,Angul,21.6298,85.5873
Odisha,574362,Joda-Khondbond,Angul,21.93089,85.38049
Odisha,578310,Bakla,Angul,21.92455,86.05785
Odisha,578311,Kesana,Angul,21.89652,85.81345
Odisha,578348,Raidiha,Angul,21.66624,85.97986
Odisha,581891,Forest office-01,Angul,22.11819,85.39462
Odisha,581896,Tata Server Room_Joda,Angul,22.006497,85.428295
Odisha,581897,Tata Equipment Room_Joda,Angul,21.9944,85.4356
Odisha,581937,ST. Marry School,Angul,22.10627,85.37955
Odisha,582197,salapada By Pass Chhak,Angul,21.19851,86.12
Odisha,582820,AMRUT VIHAR,Angul,21.63702,85.59718
Odisha,582952,Phd Colony,Angul,22.1211,85.382
Odisha,582976,Sailong chock,Angul,21.21596,86.09779
Odisha,582978,College Road Badahal,Angul,21.64989,85.61826
Odisha,583056,Joda East Township,Angul,22.02875,85.42891
Odisha,584007,Banajodi-01,Angul,21.7139,85.58108
Odisha,584193,Sukruli,Angul,21.92401,85.86508
Odisha,588274,Tata West Colony_Joda,Angul,22.02397,85.41281
Odisha,588276,Tata East Colony_Joda,Angul,22.0258,85.42903
Odisha,590959,MMTC Colony_01,Angul,22.04104,85.42621
Odisha,591230,Silisuan,Angul,21.84004,85.53781
Odisha,593126,Denkapur,Angul,21.626,85.58479
Odisha,593705,Khanda_01,Angul,21.95246,85.39025
Odisha,594104,Mmtc Colony_03,Angul,22.02933,85.43334
Odisha,594461,Hotel Srikirshina,Angul,21.63347,85.59203
Odisha,595212,Kabitra,Angul,21.67601,85.60874
Odisha,595259,Upardiha,Angul,21.40357,85.88767
Odisha,595308,Champua 7,Angul,22.06702,85.64254
Odisha,595687,JAIL ROAD_KEONJHAR,Angul,21.63699,85.60225
Odisha,596307,Tata Steel Long Products Town Ship,Angul,22.059131,85.47646
Odisha,663282,Haladia,Angul,21.87905,85.90958
Odisha,663356,Tolankabahala,Angul,21.59402,85.64557
Odisha,666484,Essel Mines,Angul,21.95817,85.42467
Odisha,666583,Badamasinabilla,Angul,21.48601,85.86926
Odisha,453400,Banipara,Angul,20.7554,85.45702778
Odisha,453413,BAGHAUABUL,Angul,20.9382,85.2117192
Odisha,453415,SANDA,Angul,20.8332,85.40355922
Odisha,453445,SAMAL,Angul,21.0681,85.13058121
Odisha,453462,PURJUNG,Angul,20.9215,85.31611557
Odisha,453481,FERTILIZER CORPORATION OF INDIA TOWNSHIP-2,Angul,20.9131,85.1572
Odisha,453500,SARANG,Angul,20.9232,85.26269514
Odisha,453501,RADHARAMANPUR,Angul,21.0127,85.17653043
Odisha,453502,BARKOTE1,Angul,21.5429,84.99180556
Odisha,453524,KHAMAR,Angul,21.2647,85.19564255
Odisha,453525,GAHAMA,Angul,21.1199,85.14630423
Odisha,453563,KANDRASINGHA,Angul,20.889,85.3155
Odisha,453570,TALABEDA,Angul,20.9747,85.2065
Odisha,453621,Kualo,Angul,20.9579,85.28722
Odisha,453641,SMELTORPLANT,Angul,20.8183,85.16806
Odisha,453960,MASALIA,Angul,20.8118,85.29474
Odisha,453971,BANDA,Angul,20.845,85.19105556
Odisha,453975,MOTANGA,Angul,20.7942,85.3141
Odisha,453979,Haldiya Bahal,Angul,20.7784,85.35082861
Odisha,453983,BANARPAL,Angul,20.8408,85.22258656
Odisha,453984,NILACHAL VIHAR,Angul,20.9467,85.21797312
Odisha,453985,REMUNA,Angul,20.9535,85.21486472
Odisha,453986,LINGRAJ ROAD,Angul,20.948,85.21088889
Odisha,453990,Parjang(RPT),Angul,20.9285,85.35130649
Odisha,453991,THANASAHI,Angul,20.9492,85.23183766
Odisha,454000,KAHANIA,Angul,21.0944,85.08575
Odisha,454078,GHANTAPADA002,Angul,20.9344,85.18194444
Odisha,454126,BADAJHARA,Angul,20.9438,85.39861056
Odisha,454161,BASOI,Angul,20.9042,85.38433285
Odisha,454234,MANGAL PUR,Angul,20.8487,85.27572222
Odisha,454255,BALIAPASI,Angul,21.3537,85.1725349
Odisha,454264,VIJAYNAGAR,Angul,21.5542,84.92147222
Odisha,454269,PITIRI,Angul,20.9458,85.27497222
Odisha,454284,SEEPUR,Angul,21.1674,85.15275458
Odisha,454285,BAJRAKOT,Angul,21.2134,85.04160827
Odisha,454289,GOTAMARA,Angul,20.8596,85.19991667
Odisha,454307,GOLABANDHA,Angul,21.4688,85.09811133
Odisha,454450,BASULEI,Angul,21.0137,85.25080556
Odisha,454473,Telkoi,Angul,21.3588,85.3948
Odisha,454500,MUKTAPASI,Angul,20.9409,85.41178
Odisha,454554,Purunagad,Angul,21.5327,84.71786
Odisha,454571,Hanumanpur,Angul,21.1442,85.05789
Odisha,464029,KANKADASODA,Angul,20.96689,85.3458
Odisha,464035,DERANG,Angul,21.12233,84.99983
Odisha,464045,LODHANI,Angul,20.87656,85.3147
Odisha,464054,PATRAPADA,Angul,20.85114,85.33128
Odisha,464690,DERA COLLIERY TOWNSHIP(C.T.),Angul,20.95053,85.17061
Odisha,465717,BCML Workshop,Angul,20.98382,85.14911
Odisha,500020,Hindol Road,Angul,20.76349,85.42272
Odisha,500027,Bhusala,Angul,20.82778,85.25776
Odisha,500029,Kodala,Angul,20.73793,85.36279
Odisha,500072,Gotamar,Angul,20.85856,85.2018
Odisha,501053,Kamakhyanagar,Angul,20.931472,85.547111
Odisha,501149,GOURKANTI,Angul,20.77988889,85.36338889
Odisha,502013,Kaniha,Angul,21.091528,85.06325
Odisha,502291,KUMUSHI,Angul,20.84736,85.3699
Odisha,502596,Gotamara,Angul,20.848944,85.21325
Odisha,502648,Motanga,Angul,20.794583,85.314306
Odisha,502677,TALCHARPLANT,Angul,26.678639,85.20373
Odisha,502678,BARAH,Angul,26.791278,84.98114
Odisha,502682,TAKUA,Angul,21.11757,84.981139
Odisha,503400,MUNDAPADA,Angul,20.9482,85.23463
Odisha,504225,KUSAPANGA,Angul,20.843444,85.287306
Odisha,508469,Talcher Chhak,Angul,20.949722,85.226472
Odisha,508479,Sant pada,Angul,20.905833,85.218778
Odisha,508501,PALLAHARA,Angul,21.435194,85.193167
Odisha,508514,KACHERY SAHI,Angul,21.538222,84.738889
Odisha,508524,Pravasuni,Angul,21.547972,84.558778
Odisha,508527,MUNDASIRA-A,Angul,21.464306,85.13875
Odisha,508584,JATIA,Angul,20.910472,85.250611
Odisha,520261,ASHA TALKIES,Angul,20.830805,85.229555
Odisha,521041,TAUNLASAHI,Angul,21.54065,84.72899
Odisha,521171,BASALAI,Angul,21.50212,84.84814
Odisha,521501,JHIMIRIPALLLI,Angul,21.42009,85.16425
Odisha,521962,SAI VIHAR-KAMAKHAYANAGAR,Angul,20.93661,85.54481
Odisha,522098,GMR CAPACITY,Angul,20.86645,85.25574
Odisha,523524,Kaniha-3-Angul,Angul,21.08126,85.07693
Odisha,524733,Bijaynagar-Deogarh,Angul,21.54715,84.93912
Odisha,525119,Kantapal,Angul,21.07875,85.53535
Odisha,526193,Podagarh,Angul,21.24459,85.04786
Odisha,526327,Kantiokateni,Angul,20.80575,85.49452
Odisha,526364,Tumusingha ,Angul,20.79328,85.47253
Odisha,527590,Maukaketani,Angul,20.96203,85.63091
Odisha,530220,Global Coal,Angul,20.92806,85.16356
Odisha,532012,Bhusan_Steel_Meramunduli ,Angul,20.7863,85.26531
Odisha,556265,UW_Orissa_0720_Remua,Angul,20.9472,85.2169
Odisha,556329,UW_Orissa_0721_Talcher(Baghugul),Angul,20.936,85.221
Odisha,556339,UW_Orissa_0901_MERAMUNDALI,Angul,20.78726,85.32404
Odisha,556369,UW_Orissa_0872_KANTAPAL,Angul,20.7967,85.4503
Odisha,556371,UW_Orissa_0719_Ghantapada,Angul,20.9347,85.1804
Odisha,556378,UW_Orissa_0902_MINI IDCO_02(DKL),Angul,20.8511,85.5206
Odisha,556487,Kania(NTPC),Angul,21.08425,85.0725
Odisha,556527,Khamar,Angul,22.26463889,85.19588889
Odisha,556543,South Balanda,Angul,20.92,85.15388889
Odisha,556698,Karanda,Angul,20.70166667,85.33444444
Odisha,556799,Balaramprasad_05_GSM,Angul,20.92022222,85.22136111
Odisha,556859,Banarpal,Angul,20.84037,85.22955
Odisha,556865,Deracolliery Township,Angul,20.95027778,85.17194444
Odisha,556892,Mahulapala Kamakhyanagar_GSM,Angul,20.895,85.542
Odisha,557191,Balaramprasad_02_GSM,Angul,20.90315,85.17358
Odisha,569991,Bamparpada,Angul,21.47875,85.07847222
Odisha,569998,Dandasinga,Angul,21.50730556,84.93197222
Odisha,581359,Gmr Plant(Pandarabharania),Angul,20.8758,85.2586
Odisha,582184,Khetrabasipur-Pallahara,Angul,21.4293,85.19619
Odisha,584957,Near Deogargh College,Angul,21.5349,84.72289
Odisha,585742,Goramapur,Angul,20.9413,85.22466
Odisha,586820,Deogarh Sp Office,Angul,21.53574,84.70888
Odisha,586881,Benjatinali,Angul,21.53304,84.7379
Odisha,587750,Patrapali-01,Angul,21.47153,85.0591
Odisha,588280,Denali,Angul,21.25482,85.0306
Odisha,592128,Kisoripali ,Angul,20.97595,85.23508
Odisha,593983,Kandhal,Angul,20.97829,85.18724
Odisha,594105,Santhapada,Angul,20.91418,85.23244
Odisha,595811,Bonda_01,Angul,20.84185,85.19951
Odisha,599340,Dihadol,Angul,20.92511,85.32668
Odisha,599516,KHANDAL,Angul,21.54265,84.87424
Odisha,663300,Kamakhya nagar,Angul,20.8947,85.56054
Odisha,664764,Kantabahal,Angul,21.3345,84.81007
Odisha,453321,TURANG,Angul,20.8449,85.12246754
Odisha,453324,Madanmohan Pada,Angul,20.8347,85.09108145
Odisha,453411,kumarsing,Angul,20.8883,84.8798
Odisha,453412,Handpa,Angul,20.9505,84.68977778
Odisha,453470,BALARAM PRASAD,Angul,20.8741,85.17491667
Odisha,453587,RASOL,Angul,20.6262,85.32402
Odisha,453672,KENDASHAR,Angul,20.8432,85.1332
Odisha,453684,KANDASAR,Angul,20.842,85.14694444
Odisha,453715,NALCO NAGAR,Angul,20.8457,85.15977778
Odisha,453778,MATTIASAHI,Angul,20.8209,85.09925
Odisha,453779,VIKAS NAGAR,Angul,20.8476,85.11663987
Odisha,453780,KHALORI,Angul,20.8217,85.1088055
Odisha,453788,KEMUNDA,Angul,20.8552,85.08163
Odisha,453789,HULURUSINGHA,Angul,20.8302,85.08577
Odisha,453790,HEMASAR,Angul,20.8476,85.08779
Odisha,453846,NIGAMANANDA LANE,Angul,20.8441,85.10285709
Odisha,453973,santrapur,Angul,20.8313,84.96305432
Odisha,453977,KATADA,Angul,20.9084,84.819488
Odisha,453978,Anadmunda,Angul,20.9258,84.74111111
Odisha,453981,MALISAHI,Angul,20.8551,84.91752751
Odisha,454047,Kalabada,Angul,21.0166,84.47624851
Odisha,454052,SADHUMUNDA,Angul,21.0514,84.45157894
Odisha,454053,DETAGARH,Angul,21.0676,84.41402
Odisha,454063,BADAHINDOL,Angul,21.09,84.25975
Odisha,454086,Charmal,Angul,21.1172,84.20975
Odisha,454089,JARASINGHA,Angul,20.8581,85.0616388
Odisha,454090,PARANGA,Angul,20.8761,85.02841667
Odisha,454119,KANGULA,Angul,20.7969,85.12994444
Odisha,454130,Kishore Nagar,Angul,20.9943,84.54494666
Odisha,454253,MAHIDARPUR,Angul,20.6935,85.18
Odisha,454348,DUDURAKOTE,Angul,20.6902,85.25905728
Odisha,454390,HINDOL,Angul,20.6092,85.19830137
Odisha,454461,BAGHADHARIA,Angul,20.6439,85.30655
Odisha,454478,RADHANAGAR,Angul,20.7489,84.32764
Odisha,454519,BAGEDIA,Angul,21.1047,84.81564
Odisha,454569,NALCOCOLONY,Angul,20.8542,85.15033166
Odisha,464046,NALCO NAGAR,Angul,20.84586,85.14833
Odisha,464056,Amalapada,Angul,20.84611,85.09344
Odisha,464678,Raniguda,Angul,20.85908,85.10861
Odisha,464679,Turang,Angul,20.83994,85.11845
Odisha,464680,Khandeswar,Angul,20.84333,85.133
Odisha,464681,BALASINGHA,Angul,20.75158,85.10632
Odisha,464688,Bsc Anugul,Angul,20.84422,85.11203
Odisha,464689,Nalco,Angul,20.83872,85.16673
Odisha,464693,NALCOCOLONY,Angul,20.85408,85.16372
Odisha,500008,Mahidharpur,Angul,20.69339,85.20522
Odisha,500009,Khalari,Angul,20.80154,85.1156
Odisha,500010,Sardhapur,Angul,20.79777,85.08155
Odisha,500012,Panchayat Ind-,Angul,20.84442,85.08876
Odisha,500013,Baniabahal,Angul,20.82188,85.09003
Odisha,500071,Nalconagar,Angul,20.84823,85.16926983
Odisha,501132,Redhakhol,Angul,21.070833,84.34125
Odisha,501194,BALIPATA,Angul,20.9863,84.8516
Odisha,501222,REDHAKHOL,Angul,21.049333,84.331889
Odisha,502332,BERHAMPUR,Angul,20.731889,84.998861
Odisha,502594,Santi Bazar,Angul,20.834083,85.089306
